,number_of_nodes,number_of_edges,is_connected,diameter,maximum_degree,minimum_degree,average_degree,betweenness_centrality,eigenvector_centrality,global_clustering_coefficient,average_clustering_coefficient,modularity,number_of_communities,average_shortest_path_length,shortest_paths,assortativity_coefficient,label
0,75,163,False,13,8,0,4.346666666666667,144.66666666666663,0.21247461233072584,0.4409090909090909,0.47766599597585496,0.6452820956754113,75,5.24491392801252,0.0,0.2713865864174728,4
1,49,88,False,11,7,0,3.5918367346938775,53.55102040816327,0.2787299780501818,0.3867924528301887,0.4254355400696864,0.5555914256198348,49,4.044083526682135,0.0,0.47084967320261417,4
2,44,88,False,9,8,0,4.0,51.02272727272727,0.2809086873990498,0.4495677233429395,0.5308913308913308,0.5536544421487605,44,3.878205128205128,0.0,0.11220332406389358,4
3,56,113,False,10,8,0,4.035714285714286,78.07142857142857,0.26536897706759754,0.42660550458715596,0.4462184873949581,0.5760827002897643,56,4.297134238310709,0.0,0.47049348367257376,4
4,52,95,False,10,7,0,3.6538461538461537,54.67307692307692,0.29472625041853917,0.4520547945205479,0.507482993197279,0.5610526315789472,52,4.005285412262157,0.0,0.28199643493761206,4
5,51,106,False,11,8,0,4.1568627450980395,59.45098039215685,0.3559436388352005,0.4429530201342282,0.5021164021164021,0.5436543253826983,51,3.9294685990338163,0.0,0.2542670983731063,4
6,58,114,False,12,7,0,3.9310344827586206,102.58620689655174,0.26027215817870764,0.46208530805687204,0.524168912848158,0.654355186211142,58,5.006734006734007,0.0,0.11048058166341528,4
7,65,146,False,9,8,0,4.492307692307692,79.27692307692308,0.29889287518155755,0.4330357142857143,0.49027093596059096,0.5677659973728654,65,4.117362371445856,0.0,0.23800203873598533,4
8,45,92,False,9,8,0,4.088888888888889,45.666666666666664,0.3345567917141832,0.44562334217506633,0.5107142857142858,0.5645675803402648,45,3.6346153846153846,0.0,0.12186890259980003,4
9,50,107,False,10,8,0,4.28,70.54,0.22408636746469895,0.375,0.39979736575481256,0.5519696043322561,50,3.9991496598639458,0.0,0.2682484298674096,4
10,72,149,False,10,8,0,4.138888888888889,110.90277777777777,0.2625586593884773,0.4019607843137255,0.44047619047619035,0.6118418089275258,72,4.505267778753292,0.0,0.3247411053009333,4
11,47,82,False,10,8,0,3.4893617021276597,42.914893617021264,0.27804651898701643,0.410828025477707,0.4074074074074075,0.5034949434860203,47,3.7183288409703503,0.0,0.4404578472375084,4
12,59,115,False,11,7,0,3.8983050847457625,91.91525423728814,0.30502139690663355,0.4154929577464789,0.46666666666666673,0.6032892249527411,59,4.651851851851852,0.0,0.2616754685720209,4
13,64,130,False,11,8,0,4.0625,87.828125,0.41049734710146984,0.392578125,0.42840434419381784,0.5846153846153846,64,4.400483968542045,0.0,0.23873486402434924,4
14,43,88,False,10,7,0,4.093023255813954,48.81395348837209,0.36855078568664934,0.5029411764705882,0.5880952380952381,0.5554622933884298,43,3.981534090909091,0.0,0.34082397003745457,4
15,55,118,False,11,7,0,4.290909090909091,73.0181818181818,0.29630789757734033,0.45348837209302323,0.5114087301587303,0.5733266302786555,55,4.278367346938776,0.0,0.18395573997233766,4
16,64,136,False,10,8,0,4.25,84.9375,0.29734188013488483,0.4134453781512605,0.4319480519480518,0.5225183823529411,64,4.175233644859813,0.0,0.5011796427367714,4
17,46,89,False,11,8,0,3.869565217391304,57.869565217391305,0.28586954748100285,0.42,0.4522588522588523,0.5448806968817069,46,3.9479512735326687,0.0,0.402621425928862,4
18,52,96,False,10,8,0,3.6923076923076925,50.75,0.33165467928929754,0.4143222506393862,0.48106575963718806,0.5113389756944443,52,3.7896405919661733,0.0,0.1776105127458725,4
19,66,146,False,10,8,0,4.424242424242424,94.89393939393939,0.37833920982899777,0.4238095238095238,0.47134920634920635,0.5682116719834865,66,4.312004230565838,0.0,0.22521356458710878,4
20,56,117,False,9,8,0,4.178571428571429,51.964285714285715,0.32687777577111443,0.4294117647058823,0.48423280423280424,0.5586602381474176,56,3.6869806094182827,0.0,0.337011631374889,4
21,68,137,False,10,7,0,4.029411764705882,103.13235294117646,0.2573602509128471,0.42857142857142855,0.45480093676815,0.6498747935425436,68,4.706659619450317,0.0,0.29599635736819824,4
22,62,130,False,11,7,0,4.193548387096774,90.37096774193549,0.3280193438513375,0.41714285714285715,0.49192176870748305,0.5725739644970416,62,4.389594676346038,0.0,0.30650055901613205,4
23,55,130,False,9,8,0,4.7272727272727275,68.12727272727273,0.386735168862273,0.4497528830313015,0.5028182701652087,0.538698224852071,55,3.938823529411765,0.0,0.26702989889132744,4
24,52,85,False,11,7,0,3.269230769230769,63.0,0.2091714386320203,0.410958904109589,0.47340301974448323,0.632318339100346,52,4.623893805309734,0.0,0.17766051011433523,4
25,65,135,False,10,7,0,4.153846153846154,93.15384615384616,0.3042622260245191,0.4430604982206406,0.5443027210884352,0.6010699588477367,65,4.534734384121425,0.0,0.19979802858334558,4
26,68,145,False,12,7,0,4.264705882352941,102.9264705882353,0.27504497727512484,0.4120603015075377,0.4533026113671273,0.5799524375743162,68,4.471726190476191,0.0,0.3246904458028264,4
27,41,91,False,10,8,0,4.439024390243903,46.21951219512195,0.32536683650975196,0.4713216957605985,0.5390211640211641,0.5200458881777563,41,3.6955903271692745,0.0,0.2247173284249269,4
28,51,99,False,10,7,0,3.8823529411764706,67.23529411764706,0.2714010798169509,0.39452054794520547,0.39180509413067555,0.559789817365575,51,4.16913123844732,0.0,0.44335293737478254,4
29,66,144,False,10,8,0,4.363636363636363,75.19696969696969,0.30319589180009426,0.4199066874027994,0.4755221386800332,0.5593894675925924,66,3.9987915407854984,0.0,0.34285767504237447,4
30,70,134,False,13,7,0,3.8285714285714287,121.65714285714286,0.32621208830106796,0.3958762886597938,0.4661458333333332,0.6280073513031854,70,4.97016317016317,0.0,0.2406787834945896,4
31,62,125,False,13,7,0,4.032258064516129,98.17741935483869,0.330562622342438,0.4178794178794179,0.4548966756513924,0.6268480000000001,62,4.680169286577993,0.0,0.35324553151458016,4
32,50,115,False,9,8,0,4.6,60.82,0.3118288474193686,0.44299065420560746,0.521894409937888,0.509867674858223,50,3.9381642512077293,0.0,0.20659590598938576,4
33,60,112,False,11,7,0,3.7333333333333334,94.28333333333333,0.2851512867990756,0.41044776119402987,0.47133872416891287,0.5838647959183674,60,4.673376623376623,0.0,0.3047077082255562,4
34,47,83,False,10,7,0,3.5319148936170213,70.5531914893617,0.2875766435602576,0.39501779359430605,0.44119047619047624,0.5985629264044128,47,4.505285412262157,0.0,0.2533430585946978,4
35,49,99,False,13,8,0,4.040816326530612,68.83673469387755,0.2810856720121542,0.4358353510895884,0.47364341085271316,0.49295990205081114,49,4.407070707070707,0.0,0.5779726754953002,4
36,50,86,False,12,7,0,3.44,77.67999999999999,0.27015119524811637,0.412751677852349,0.4548199767711963,0.5888994050838291,50,4.752657004830918,0.0,0.3569678999613252,4
37,55,103,False,9,7,0,3.7454545454545456,57.5090909090909,0.32032159419056555,0.4397905759162304,0.48429584599797354,0.5885097558676595,55,4.038424591738713,0.0,0.36758765551785455,4
38,62,132,False,11,7,0,4.258064516129032,98.6290322580645,0.352701295387666,0.48314606741573035,0.5158163265306123,0.6368227731864096,62,4.699334543254689,0.0,0.15854700854700665,4
39,56,101,False,10,7,0,3.607142857142857,63.69642857142857,0.2982000681402909,0.4481012658227848,0.5227513227513226,0.5793059503970199,56,4.299722479185939,0.0,0.28505309011707025,4
40,61,113,False,11,7,0,3.7049180327868854,89.44262295081967,0.2697932608334228,0.39069767441860465,0.44038095238095243,0.5901010259221552,61,4.4185463659147866,0.0,0.17110620706803906,4
41,57,132,False,9,8,0,4.631578947368421,80.87719298245612,0.32372219176797673,0.4634974533106961,0.5196886446886448,0.5629017447199265,57,4.221523410202655,0.0,0.31739542439420715,4
42,55,90,False,13,7,0,3.272727272727273,83.65454545454546,0.21983272828912964,0.3511705685618729,0.32456709956709956,0.5996296296296296,55,4.912414965986395,0.0,0.278854975839502,4
43,58,105,False,10,7,0,3.6206896551724137,65.87931034482759,0.24175215927579494,0.4253164556962025,0.5066869300911854,0.5951473922902494,58,4.246389124893798,0.0,0.2348797668205003,4
44,54,106,False,11,7,0,3.925925925925926,67.9074074074074,0.38291883134211196,0.43276283618581907,0.5217831813576495,0.6002580989676041,54,4.118197278911564,0.0,0.21193445830276578,4
45,74,159,False,10,8,0,4.297297297297297,122.20270270270271,0.19666895849610108,0.4097331240188383,0.41564625850340126,0.6360903445275108,74,4.744513457556936,0.0,0.1901684255204236,4
46,44,76,False,11,7,0,3.4545454545454546,55.43181818181818,0.2665452170572529,0.4867924528301887,0.5421768707482992,0.6335699445983378,44,4.287061994609164,0.0,0.3011494252873576,4
47,56,110,False,12,8,0,3.9285714285714284,75.58928571428571,0.24853619950341482,0.4018475750577367,0.39797365754812575,0.5853305785123969,56,4.32,0.0,0.3348895947342226,4
48,62,127,False,9,8,0,4.096774193548387,60.11290322580645,0.291760203677687,0.4245810055865922,0.4784366576819405,0.5608531217062435,62,3.9003891050583657,0.0,0.1910191884240337,4
49,64,127,False,11,7,0,3.96875,99.890625,0.17842225062114442,0.407098121085595,0.4589490968801312,0.6488622977245954,64,4.736411455289304,0.0,0.12371700250591888,4
50,56,100,False,11,6,0,3.5714285714285716,69.71428571428571,0.21159414689235595,0.4273255813953488,0.43333333333333335,0.62665,56,4.451812555260831,0.0,0.29968606616759136,4
51,53,92,False,11,7,0,3.4716981132075473,70.18867924528301,0.2303892968978014,0.3786407766990291,0.41851851851851857,0.6126535916824197,53,4.441258094357077,0.0,0.1269802975472455,4
52,69,155,False,11,8,0,4.492753623188406,116.92753623188405,0.24572819208769073,0.413953488372093,0.455311355311355,0.6025390218522373,69,4.649027589326097,0.0,0.21397649969078553,4
53,56,100,False,13,7,0,3.5714285714285716,86.9107142857143,0.25836203980783373,0.46537396121883656,0.5619047619047618,0.6068500000000001,56,5.303271441202476,0.0,0.2687051510580913,4
54,53,101,False,9,8,0,3.811320754716981,57.339622641509436,0.3585568932994338,0.3903061224489796,0.43008658008658024,0.4981864523085972,53,3.8112858464384827,0.0,0.21016617790811284,4
55,64,127,False,12,7,0,3.96875,105.453125,0.25110087900798334,0.4423076923076923,0.4759483454398709,0.6387252774505551,64,4.8129943502824855,0.0,0.4240362811791397,4
56,60,122,False,10,8,0,4.066666666666666,76.08333333333333,0.30721206317219557,0.3941176470588235,0.4327619047619046,0.5381953775866702,60,4.074074074074074,0.0,0.27684025887618513,4
57,57,103,False,11,7,0,3.6140350877192984,69.70175438596492,0.2409544014336449,0.47244094488188976,0.5097402597402596,0.614525402959751,57,4.519043401240036,0.0,0.25164265857973317,4
58,61,109,False,10,8,0,3.5737704918032787,46.34426229508197,0.26418524787568276,0.40877598152424943,0.4360248447204968,0.5838734113290127,61,3.710450623202301,0.0,0.3797447536346293,4
59,66,121,False,12,7,0,3.6666666666666665,108.1818181818182,0.23157536385806088,0.3723150357995227,0.46633825944170754,0.6323338569769825,66,5.031620553359684,0.0,0.2278508676078493,4
60,47,88,False,8,7,0,3.74468085106383,54.57446808510638,0.290241863750403,0.44776119402985076,0.48461538461538456,0.5577221074380166,47,3.9790940766550524,0.0,0.17267719427102657,7
61,57,113,False,8,8,0,3.9649122807017543,53.14035087719297,0.26357703910394725,0.40997830802603036,0.47444120505344994,0.5373560967969301,57,3.67816091954023,0.0,0.2898992699380814,7
62,59,106,False,11,7,0,3.593220338983051,73.42372881355932,0.2372615864262755,0.4643734643734644,0.5193581780538302,0.5989231043075827,59,4.536326530612245,0.0,0.4423009470361265,7
63,72,143,False,11,7,0,3.9722222222222223,106.51388888888889,0.30767632805870593,0.3894736842105263,0.41194379391100694,0.5872903320455768,72,4.575291375291375,0.0,0.4341073695213918,7
64,46,84,False,9,7,0,3.652173913043478,40.99999999999999,0.3105904679484379,0.40514469453376206,0.4393483709273183,0.562358276643991,46,3.545209176788124,0.0,0.29913719541101635,7
65,50,78,False,11,7,0,3.12,59.76,0.22419747066826182,0.38372093023255816,0.36869047619047635,0.5442965154503616,50,4.470383275261324,0.0,0.41791044776119335,7
66,47,91,False,9,8,0,3.872340425531915,45.191489361702125,0.3377078946558292,0.4645669291338583,0.5582080200501253,0.5726965342349958,47,3.723076923076923,0.0,0.19732113688337036,7
67,49,74,False,10,6,0,3.020408163265306,41.714285714285715,0.24647262045684135,0.4875,0.5444444444444443,0.5952337472607744,49,4.2239747634069404,0.0,0.4228461723062167,7
68,56,96,False,10,7,0,3.4285714285714284,70.62500000000001,0.33107907791868485,0.37037037037037035,0.3832804232804233,0.6324869791666667,56,4.50310008857396,0.0,0.12714776632302327,7
69,53,105,False,10,8,0,3.9622641509433962,53.8679245283019,0.27813574293172366,0.44419134396355353,0.46709956709956707,0.5586848072562358,53,3.880928355196771,0.0,0.4511015309413073,7
70,66,139,False,11,8,0,4.212121212121212,92.60606060606061,0.2486263965141343,0.47855917667238423,0.5368197278911563,0.6272967237720615,66,4.570093457943925,0.0,0.12097781320579382,7
71,50,100,False,9,7,0,4.0,73.21999999999998,0.2846664883694975,0.3902439024390244,0.3713293650793652,0.5713499999999999,50,4.245567375886525,0.0,0.4656988759514091,7
72,53,92,False,11,6,0,3.4716981132075473,64.03773584905662,0.2944771345428659,0.38461538461538464,0.45037037037037037,0.6063917769376181,53,4.417925478348439,0.0,0.32411408815903225,7
73,52,97,False,13,7,0,3.730769230769231,77.03846153846152,0.3287801813093471,0.4262295081967213,0.49699792960662525,0.5653629503666703,52,4.7058279370952825,0.0,0.3875900167702482,7
74,58,123,False,9,8,0,4.241379310344827,80.62068965517243,0.37638661338284896,0.4251968503937008,0.4737179487179487,0.585630246546368,58,4.26764500349406,0.0,0.2843163184342771,7
75,52,117,False,10,8,0,4.5,49.51923076923077,0.3798254942160685,0.45161290322580644,0.5113636363636366,0.4922565563591205,52,3.598385469223007,0.0,0.3211793832995727,7
76,52,87,False,12,7,0,3.3461538461538463,63.17307692307692,0.296720024794142,0.38961038961038963,0.45087108013937294,0.5900383141762452,52,4.318181818181818,0.0,0.24521099389228324,7
77,54,101,False,10,7,0,3.740740740740741,56.16666666666666,0.29048674296649096,0.45194805194805193,0.5212698412698413,0.5948436427801196,54,4.0605449041372355,0.0,0.17443378554805042,7
78,42,57,False,12,7,0,2.7142857142857144,31.690476190476186,0.22167099079411484,0.47282608695652173,0.46887755102040823,0.5867959372114496,42,4.254278728606357,0.0,0.46620126000340384,7
79,49,91,False,10,8,0,3.7142857142857144,62.795918367346935,0.2584767473578054,0.4194528875379939,0.46871539313399774,0.5838666827677818,49,4.249208025343189,0.0,0.26854219948849256,7
80,52,97,False,9,7,0,3.730769230769231,59.5,0.3581552790945324,0.4051948051948052,0.4306471306471308,0.4840046763736848,52,3.9893719806763284,0.0,0.30422668800758745,7
81,57,118,False,10,7,0,4.140350877192983,88.52631578947367,0.3415492553587319,0.43312101910828027,0.5191374663072774,0.582232117207699,57,4.526205450733753,0.0,0.24606879200185588,7
82,50,86,False,10,7,0,3.44,46.47999999999998,0.26577341531591303,0.4560810810810811,0.49523809523809526,0.6479853975121687,50,4.245810055865922,0.0,0.26751838946960993,7
83,47,87,False,8,7,0,3.702127659574468,39.48936170212766,0.36139850188769973,0.40869565217391307,0.4112781954887219,0.48857180605099754,47,3.501347708894879,0.0,0.3381104033970278,7
84,38,54,False,11,7,0,2.8421052631578947,30.157894736842106,0.27040492566431035,0.4972375690607735,0.47600732600732604,0.5643004115226338,38,4.2100840336134455,0.0,0.5238628411476552,7
85,48,81,False,11,7,0,3.375,48.0625,0.2852504894415438,0.40540540540540543,0.4083655083655084,0.5598994055784179,48,3.9539052496798974,0.0,0.3777764544750786,7
86,38,73,False,10,7,0,3.8421052631578947,47.526315789473685,0.45940997628781366,0.4777777777777778,0.5750700280112044,0.5463501595045976,38,4.035294117647059,0.0,-0.039449112978522605,7
87,49,74,False,12,7,0,3.020408163265306,67.26530612244899,0.2478077628990662,0.36486486486486486,0.4355311355311356,0.6113038714390066,49,4.823665893271461,0.0,0.1521739130434777,7
88,53,98,False,11,7,0,3.69811320754717,74.54716981132076,0.30808869431793007,0.41260744985673353,0.47422360248447204,0.5956892961266139,53,4.502659574468085,0.0,0.24557875026007256,7
89,55,88,False,9,7,0,3.2,46.41818181818181,0.22151083888431386,0.4315068493150685,0.4972943722943722,0.6273243801652892,55,4.072202166064982,0.0,0.3546209761163021,7
90,39,68,False,11,7,0,3.4871794871794872,47.384615384615394,0.2290518779427905,0.49528301886792453,0.4948412698412698,0.6393814878892733,39,4.46067415730337,0.0,0.2819634703196372,7
91,45,87,False,9,8,0,3.8666666666666667,48.13333333333334,0.32880384839210997,0.4260355029585799,0.4821428571428572,0.544589774078478,45,3.7733674775928296,0.0,0.38357759875764375,7
92,41,79,False,13,7,0,3.8536585365853657,69.58536585365853,0.3683164665490338,0.4808362369337979,0.5055341055341055,0.6065534369492068,41,4.850202429149798,0.0,0.4014143795251738,7
93,49,79,False,12,5,0,3.2244897959183674,73.40816326530613,0.24496660202241216,0.27149321266968324,0.284920634920635,0.6314693158147734,49,4.7903055848261324,0.0,0.39819076337089465,7
94,52,79,False,13,6,0,3.0384615384615383,82.32692307692308,0.1502598617284381,0.47560975609756095,0.4910569105691058,0.6646370773914436,52,5.525369978858351,0.0,0.11701285855588527,7
95,42,74,False,9,8,0,3.5238095238095237,39.95238095238095,0.2729094620879575,0.41785714285714287,0.48489795918367357,0.48959094229364497,42,3.6634920634920634,0.0,0.30156797077180664,7
96,49,75,False,12,6,0,3.061224489795918,61.95918367346939,0.19068818351208566,0.34513274336283184,0.3725,0.6055111111111111,49,4.526132404181185,0.0,0.26204039357845355,7
