,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g2_1,g3_1,g3_2,g4_1,g4_2,g4_3,g4_4,g4_5,g4_6
174,81.0,45.0,29.0,54.0,208.0,52.0,128.0,54.0,33.0,61.0,2412.0,5490.0,2762.0,3368.0,306.0,8.0,3022.0,2996.0,8952.0
175,55.0,44.0,22.0,32.0,58.0,29.0,128.0,33.0,40.0,56.0,1142.0,1530.0,1080.0,1004.0,132.0,24.0,734.0,632.0,1368.0
176,121.0,31.0,33.0,80.0,225.0,49.0,55.0,48.0,53.0,54.0,2436.0,5466.0,2748.0,3394.0,318.0,88.0,2964.0,2648.0,8496.0
177,9.0,30.0,19.0,8.0,85.0,21.0,117.0,20.0,4.0,45.0,922.0,1380.0,1114.0,1328.0,468.0,128.0,844.0,692.0,1680.0
178,19.0,40.0,37.0,20.0,128.0,28.0,154.0,39.0,20.0,58.0,1608.0,3516.0,2008.0,2856.0,1296.0,336.0,2040.0,1920.0,5592.0
179,137.0,102.0,1.0,66.0,431.0,40.0,536.0,27.0,38.0,211.0,9774.0,36516.0,18484.0,40872.0,948.0,72.0,32380.0,30196.0,87480.0
180,27.0,1.0,14.0,28.0,23.0,6.0,17.0,7.0,16.0,1.0,344.0,810.0,416.0,616.0,90.0,0.0,556.0,364.0,1488.0
181,252.0,62.0,7.0,138.0,403.0,57.0,171.0,44.0,80.0,92.0,6506.0,20262.0,9776.0,16796.0,726.0,32.0,13864.0,13348.0,40440.0
182,138.0,81.0,16.0,57.0,160.0,46.0,248.0,66.0,32.0,90.0,3446.0,8574.0,4304.0,6452.0,480.0,24.0,5106.0,4912.0,14640.0
183,319.0,5.0,26.0,124.0,88.0,35.0,9.0,43.0,80.0,6.0,2588.0,6192.0,3316.0,4898.0,510.0,112.0,3796.0,3416.0,10128.0
184,399.0,32.0,9.0,142.0,327.0,55.0,97.0,46.0,102.0,85.0,6314.0,18798.0,9992.0,18362.0,804.0,16.0,14420.0,12668.0,35088.0
185,143.0,27.0,26.0,68.0,146.0,58.0,36.0,69.0,52.0,26.0,1722.0,3168.0,1604.0,1736.0,288.0,16.0,1346.0,1292.0,4176.0
186,301.0,77.0,3.0,133.0,416.0,47.0,317.0,30.0,59.0,131.0,8896.0,31896.0,16238.0,34356.0,840.0,40.0,27418.0,25656.0,72672.0
187,210.0,1.0,19.0,74.0,60.0,23.0,3.0,41.0,62.0,2.0,1434.0,2706.0,1742.0,2298.0,1134.0,216.0,1598.0,1284.0,4056.0
188,122.0,67.0,17.0,89.0,325.0,63.0,113.0,62.0,61.0,70.0,3778.0,8964.0,4796.0,6962.0,582.0,64.0,5314.0,4816.0,13224.0
189,6.0,59.0,15.0,12.0,64.0,32.0,149.0,31.0,10.0,60.0,1046.0,1500.0,988.0,1006.0,330.0,16.0,668.0,520.0,1656.0
190,0.0,49.0,18.0,7.0,190.0,25.0,99.0,25.0,0.0,83.0,1258.0,1728.0,1448.0,1754.0,798.0,200.0,956.0,712.0,1536.0
